Patio Inventory,
Item,Volume
ADIRONDACK CHAIR,12 cf
"BARBECUE GRILL, LARGE",29 cf
"BARBECUE GRILL, MEDIUM",20 cf
"BARBECUE GRILL, SMALL",15 cf
"BENCH, LARGE",15 cf
"BENCH, SMALL",10 cf
BIRD BATH,10 cf
CANTILEVER UMBRELLA,25 cf
"CHAIR, STACKABLE",3 cf
DECK BOX,20 cf
"FIRE PIT, LARGE",20 cf
"FIRE PIT, SMALL",12 cf
GARDEN CART,7 cf
GLIDER (2 SEAT),30 cf
HAMMOCK,10 cf
LOUNGE CHAIR,10 cf
PATIO CHAIR,10 cf
PATIO CHAIR ALUMINUM,10 cf
PATIO CHAIR METAL,10 cf
PATIO CHAIR PLASTIC,5 cf
PATIO CHAIR WICKER,10 cf
PATIO COFFEE TABLE,15 cf
PATIO END TABLE,5 cf
PATIO SWING,25 cf
PATIO SWING (A FRAME),35 cf
PATIO TABLE GLASS TOP LARGE,30 cf
PATIO TABLE GLASS TOP MEDIUM,25 cf
PATIO TABLE GLASS TOP SMALL,20 cf
"PATIO TABLE, LARGE",25 cf
"PATIO TABLE, MEDIUM",18 cf
"PATIO TABLE, SMALL",15 cf
PATIO UMBRELLA,5 cf
PICNIC TABLE,65 cf
SMOKER LG,35 cf
SMOKER MD,20 cf
SMOKER SM,15 cf
TRAMPOLINE,50 cf
WHEELBARROW,12 cf
WICKER LOVESEAT (2 PERSON),25 cf
WICKER SOFA (3 PERSON),40 cf
