Office,
Item,Volume
ADJUSTABLE DESK,25 cf
"CHAIR, FOLDING",2 cf
COMPUTER DESK,18 cf
COMPUTER SCREEN,5 cf
COMPUTER SYSTEM,5 cf
"COPIER, LARGE OFFICE",30 cf
"COPIER, TABLE TOP",7 cf
CRAFT TABLE,15 cf
"DESK CHAIR, LARGE",10 cf
"DESK CHAIR, MEDIUM",7 cf
"DESK, HUTCH",10 cf
"DESK, L-SHAPE",35 cf
"DESK, LARGE",40 cf
"DESK, MEDIUM",21 cf
"DESK, ROLL TOP",25 cf
"DESK, SECRETARY",21 cf
"DESK, SMALL",14 cf
FAX MACHINE,5 cf
"FILE CABINET, 2 DRAWER",10 cf
"FILE CABINET, 2 DRAWER LATERAL",20 cf
"FILE CABINET, 3 DRAWER",15 cf
"FILE CABINET, 3 DRAWER LATERAL",30 cf
"FILE CABINET, 4 DRAWER",20 cf
"FILE CABINET, 4 DRAWER LATERAL",40 cf
"FILE CABINET, 5 DRAWER",40 cf
LAWYERS BOOKCASE,30 cf
"PRINTER, LARGE OFFICE",30 cf
"PRINTER, SMALL",5 cf
"TABLE, CONFERENCE",43 cf
"TABLE, DISPLAY",20 cf
