Misc Inventory,
Item,Volume
AIR HOCKEY TABLE,50 cf
"AQUARIUM STAND, LG.",29 cf
"AQUARIUM STAND, SM.",10 cf
"AQUARIUM, 10 GAL",5 cf
"AQUARIUM, 20 GAL",10 cf
"AQUARIUM, 55 GAL",16 cf
"AQUARIUM, 75 GAL",19 cf
ARCADE GAME,50 cf
"CHEST, HOPE",14 cf
CHRISTMAS TREE,10 cf
COOLER,4 cf
DRY SINK,25 cf
DRYING RACK,3 cf
ELECTRIC FIREPLACE,11 cf
ELLIPTICAL,75 cf
EXERCISE BIKE,16 cf
EXERCISE EQUIP LARGE,40 cf
EXERCISE EQUIP SMALL,20 cf
GOLF CART (STANDARD SIZE),300 cf
GOLF CART 6 SEATER,400 cf
GUITAR (IN CASE),5 cf
HANDHELD POWER TOOLS,5 cf
INVERSION TABLE,20 cf
KAYAK,29 cf
KEYBOARD,10 cf
MANNEQUIN,15 cf
MASSAGE CHAIR,7 cf
METAL SHELVING,6 cf
PEDESTAL (FOR WASHER /DRYER),5 cf
PICTURE/PAINTING LARGE,6 cf
PICTURE/PAINTING MEDIUM,3 cf
PICTURE/PAINTING SMALL,2 cf
PINBALL MACHINE,50 cf
"PLASTIC BIN, XL",10 cf
PLASTIC DRAWERS,5 cf
POOL TABLE,71 cf
POOL TABLE (SLATE TOP),143 cf
ROWING MACHINE,50 cf
"SAFE, EXTRA LARGE",80 cf
"SAFE, LARGE",50 cf
"SAFE, MEDIUM",30 cf
"SAFE, SMALL",20 cf
"SEWING MACHINE, CONSOLE",10 cf
"SEWING MACHINE, PORTABLE",5 cf
SHAMPOOER,5 cf
SHELF LARGE,10 cf
SHELF SMALL,5 cf
SHOE RACK,5 cf
SHREDDER,5 cf
SOUNDBAR,3 cf
STAIR CLIMBER,30 cf
"STAND, MED.",5 cf
"STAND, SM.",3 cf
"STATUE, LARGE",14 cf
"STATUE, MEDIUM",9 cf
"STATUE, SMALL",5 cf
STEP STOOL,2 cf
"STOOL, SM.",3 cf
SUITCASE SM.,5 cf
"SUITCASE, LG.",9 cf
SURF BOARD,5 cf
TOILET SHELF,12 cf
TREADMILL,25 cf
TV 20 (OR SMALLER),5 cf
TV FLAT SCREEN 21-29,6 cf
TV FLAT SCREEN 30-48,9 cf
TV FLAT SCREEN 30-48,9 cf
TV FLAT SCREEN 48-75,15 cf
TV FLAT SCREEN 75+,22 cf
TV OLDER REAR PROJECTOR STYLE,57 cf
TV STAND (REGULAR),15 cf
TV STAND (SMALL),10 cf
WEIGHT BENCH,14 cf
WHEELCHAIR (FOLDING),5 cf
